0	-5.000000	0.181386	-0.008241	-0.017011	0.000889	0.020250	0.026153	-0.000152	-0.032964	0.000036	0.034613	0.040314
1	-4.898990	0.502518	-0.016451	-0.033851	0.001792	0.040164	0.051467	-0.000309	-0.064491	0.000075	0.067196	0.077439
2	-4.797980	-0.768730	-0.024602	-0.050350	0.002722	0.059414	0.075128	-0.000476	-0.093208	0.000116	0.095839	0.108440
3	-4.696970	0.827112	-0.032664	-0.066344	0.003694	0.077682	0.096379	-0.000660	-0.117862	0.000163	0.118862	0.130864
4	-4.595960	1.604913	-0.040607	-0.081671	0.004723	0.094664	0.114535	-0.000866	-0.137379	0.000217	0.134916	0.142938
5	-4.494949	-1.697060	-0.048403	-0.096177	0.005825	0.110080	0.129015	-0.001101	-0.150909	0.000282	0.143057	0.143707
6	-4.393939	2.179173	-0.056024	-0.109716	0.007016	0.123676	0.139354	-0.001374	-0.157862	0.000359	0.142811	0.133111
7	-4.292929	-2.295564	-0.063441	-0.122153	0.008315	0.135225	0.145220	-0.001693	-0.157934	0.000453	0.134190	0.111986
8	-4.191919	2.931938	-0.070628	-0.133362	0.009742	0.144538	0.146425	-0.002070	-0.151124	0.000567	0.117700	0.082005
9	-4.090909	3.954499	-0.077558	-0.143231	0.011319	0.151459	0.142930	-0.002517	-0.137726	0.000708	0.094308	0.045538
10	-3.989899	4.848944	-0.084208	-0.151660	0.013069	0.155875	0.134847	-0.003049	-0.118327	0.000881	0.065387	0.005469
11	-3.888889	5.895940	-0.090552	-0.158565	0.015021	0.157713	0.122435	-0.003685	-0.093770	0.001094	0.032631	-0.035032
12	-3.787879	7.173582	-0.096567	-0.163876	0.017203	0.156942	0.106094	-0.004446	-0.065126	0.001358	-0.002039	-0.072763
13	-3.686869	8.378720	-0.102232	-0.167540	0.019650	0.153574	0.086347	-0.005358	-0.033644	0.001684	-0.036588	-0.104738
14	-3.585859	9.681346	-0.107526	-0.169521	0.022400	0.147666	0.063829	-0.006452	-0.000695	0.002087	-0.068993	-0.128430
15	-3.484848	11.206503	-0.112430	-0.169797	0.025493	0.139315	0.039261	-0.007764	0.032283	0.002586	-0.097351	-0.141965
16	-3.383838	12.708784	-0.116927	-0.168368	0.028979	0.128660	0.013434	-0.009341	0.063855	0.003204	-0.120001	-0.144271
17	-3.282828	14.254587	-0.120999	-0.165246	0.032910	0.115877	-0.012825	-0.011234	0.092644	0.003969	-0.135615	-0.135167
18	-3.181818	16.008629	-0.124632	-0.160463	0.037347	0.101176	-0.038672	-0.013509	0.117395	0.004916	-0.143276	-0.115373
19	-3.080808	17.791052	-0.127813	-0.154067	0.042358	0.084802	-0.063277	-0.016242	0.137029	0.006089	-0.142535	-0.086454
20	-2.979798	19.574803	-0.130530	-0.146123	0.048020	0.067025	-0.085852	-0.019526	0.150692	0.007541	-0.133437	-0.050697
21	-2.878788	21.536611	-0.132774	-0.136711	0.054421	0.048139	-0.105671	-0.023473	0.157786	0.009340	-0.116514	-0.010931
22	-2.777778	23.576043	-0.134536	-0.125924	0.061658	0.028457	-0.122098	-0.028217	0.158004	0.011567	-0.092758	0.029700
23	-2.676768	25.593494	-0.135810	-0.113872	0.069844	0.008304	-0.134606	-0.033918	0.151335	0.014325	-0.063564	0.067982
24	-2.575758	27.743929	-0.136592	-0.100676	0.079103	-0.011986	-0.142793	-0.040771	0.138071	0.017742	-0.030642	0.100888
25	-2.474747	30.011015	-0.136878	-0.086467	0.089578	-0.032078	-0.146397	-0.049008	0.118789	0.021972	0.004077	0.125814
26	-2.373737	32.254919	-0.136667	-0.071390	0.101431	-0.051639	-0.145302	-0.058907	0.094330	0.027212	0.038556	0.140789
27	-2.272727	34.578768	-0.135961	-0.055595	0.114843	-0.070346	-0.139543	-0.070807	0.065760	0.033700	0.070775	0.144629
28	-2.171717	37.040042	-0.134761	-0.039242	0.130021	-0.087889	-0.129304	-0.085109	0.034323	0.041736	0.098844	0.137031
29	-2.070707	39.497083	-0.133072	-0.022494	0.147198	-0.103979	-0.114916	-0.102301	0.001391	0.051688	0.121116	0.118595
30	-1.969697	41.982960	-0.130901	-0.005519	0.166637	-0.118348	-0.096839	-0.122964	-0.031602	0.064014	0.136286	0.090779
31	-1.868687	44.604159	-0.121710	0.011786	0.180307	-0.124842	-0.070811	-0.141653	-0.061638	0.076077	0.136651	0.051245
32	-1.767677	47.253110	-0.105991	0.028384	0.187734	-0.123029	-0.038970	-0.158067	-0.085905	0.087830	0.122170	0.005095
33	-1.666667	49.891704	-0.084589	0.043277	0.188660	-0.113030	-0.003930	-0.171943	-0.102133	0.099223	0.094416	-0.041712
34	-1.565657	52.641151	-0.058650	0.055572	0.183054	-0.095509	0.031433	-0.183057	-0.108803	0.110211	0.056405	-0.083135
35	-1.464646	55.452748	-0.029567	0.064529	0.171110	-0.071633	0.064216	-0.191232	-0.105291	0.120748	0.012267	-0.113826
36	-1.363636	58.233979	0.001103	0.069612	0.153241	-0.042990	0.091726	-0.196336	-0.091925	0.130791	-0.033205	-0.129823
37	-1.262626	61.085022	0.031713	0.070514	0.130066	-0.011486	0.111706	-0.198287	-0.069957	0.140299	-0.075068	-0.129061
38	-1.161616	64.023720	0.060623	0.067182	0.102387	0.020782	0.122515	-0.197053	-0.041442	0.149234	-0.108777	-0.111639
39	-1.060606	66.933592	0.086282	0.059815	0.071163	0.051667	0.123265	-0.192656	-0.009049	0.157559	-0.130668	-0.079805
40	-0.959596	69.865425	0.107313	0.048857	0.037475	0.079114	0.113896	-0.185164	0.024192	0.165240	-0.138364	-0.037669
41	-0.858586	72.892666	0.122590	0.034965	0.002489	0.101296	0.095176	-0.174699	0.055168	0.172244	-0.131028	0.009329
42	-0.757576	75.910676	0.131292	0.018973	-0.032582	0.116738	0.068643	-0.161428	0.080981	0.178545	-0.109457	0.055123
43	-0.656566	78.907354	0.132953	0.001841	-0.066526	0.124412	0.036474	-0.145566	0.099216	0.184116	-0.075995	0.093802
44	-0.555556	81.985515	0.127485	-0.015400	-0.098166	0.123808	0.001310	-0.127365	0.108166	0.188933	-0.034277	0.120371
45	-0.454545	85.083425	0.115180	-0.031717	-0.126407	0.114965	-0.033961	-0.107119	0.106993	0.192979	0.011165	0.131402
46	-0.353535	88.131358	0.096698	-0.046130	-0.150271	0.098472	-0.066444	-0.085153	0.095808	0.196235	0.055394	0.125470
47	-0.252525	91.227300	0.073030	-0.057772	-0.168932	0.075426	-0.093472	-0.061820	0.075656	0.198689	0.093605	0.103341
48	-0.151515	94.369815	0.045446	-0.065945	-0.181744	0.047361	-0.112826	-0.037493	0.048425	0.200331	0.121647	0.067872
49	-0.050505	97.454377	0.015424	-0.070158	-0.188263	0.016145	-0.122917	-0.012565	0.016661	0.201153	0.136473	0.023641
50	0.050505	100.541632	-0.015424	-0.070158	-0.188263	-0.016145	-0.122917	0.012565	-0.016661	0.201153	0.136473	-0.023641
51	0.151515	103.689011	-0.045446	-0.065945	-0.181744	-0.047361	-0.112826	0.037493	-0.048425	0.200331	0.121647	-0.067872
52	0.252525	106.791162	-0.073030	-0.057772	-0.168932	-0.075426	-0.093472	0.061820	-0.075656	0.198689	0.093605	-0.103341
53	0.353535	109.850159	-0.096698	-0.046130	-0.150271	-0.098472	-0.066444	0.085153	-0.095808	0.196235	0.055394	-0.125470
54	0.454545	112.962215	-0.115180	-0.031717	-0.126407	-0.114965	-0.033961	0.107119	-0.106993	0.192979	0.011165	-0.131402
55	0.555556	116.056088	-0.127485	-0.015400	-0.098166	-0.123808	0.001310	0.127365	-0.108166	0.188933	-0.034277	-0.120371
56	0.656566	119.072373	-0.132953	0.001841	-0.066526	-0.124412	0.036474	0.145566	-0.099216	0.184116	-0.075995	-0.093802
57	0.757576	122.112832	-0.131292	0.018973	-0.032582	-0.116738	0.068643	0.161428	-0.080981	0.178545	-0.109457	-0.055123
